clip_name,pfID,label_full_vocab,label_consolidated_vocab,podcast_filename,event_start_inepisode,event_end_inepisode,clip_start_inepisode,clip_end_inepisode,confidence,episode_split_subset,clip_split_subset
24.wav,24,Words,Words,a16z_a16z Podcast On Recent IPOs and Comparing Private vs. Public Valuations,2151.2019424000005,2153.2019424000005,2151.2019424000005,2153.2019424000005,0.85,train,train
50.wav,50,Uh,Uh,Break The Cycle_Episode 7 Patriarchy,932.3989999999936,934.3989999999936,932.3989999999936,934.3989999999936,0.85,test,test
68.wav,68,Uh,Uh,"Introduction to Minecraft In Education_Nov 6, 2013",3039.1970192000003,3041.1970192000003,3039.1970192000003,3041.1970192000003,0.85,train,train
192.wav,192,Uh,Uh,UX Podcast_#206 The build trap with Melissa Perri,1202.3469999999843,1204.3469999999843,1202.3469999999843,1204.3469999999843,0.85,train,train
193.wav,193,Um,Um,Tearsheet Podcast_Beyond the stock markets [mini-course],877.0559999999972,879.0559999999972,877.0559999999972,879.0559999999972,0.85,train,train
196.wav,196,Words,Words,the csuite podcast_Show 111_How Digital Acceleration Is Driving Sustainable Fashion & Beauty,3589.7172944000004,3591.7172944000004,3589.7172944000004,3591.7172944000004,0.85,train,train
331.wav,331,Um,Um,UX Podcast_#213 Spacesuit design with Lindsey Aitchison,1922.2439776,1924.2439776,1922.2439776,1924.2439776,0.85,train,train
342.wav,342,Words,Words,UX Podcast_#251 Multimodal design with Cheryl Platz,2588.6358720000003,2590.6358720000003,2588.6358720000003,2590.6358720000003,0.85,train,train
373.wav,373,Um,Um,UX Podcast_#189 Contrasting design worlds with Namrata Mehta,697.4979903999999,699.4979903999999,697.4979903999999,699.4979903999999,0.85,train,train
412.wav,412,Uh,Uh,Manifest Arts Podcasts_Kwong Lee (Castlefield Gallery),655.3599999999967,657.3599999999967,655.3599999999967,657.3599999999967,0.85,train,train
414.wav,414,Um,Um,Manifest Arts Podcasts_Kwong Lee (Castlefield Gallery),1754.5980928,1756.5980928,1754.5980928,1756.5980928,0.85,train,train
441.wav,441,Words,Words,a16z_a16z Podcast Making Security More Useable,193.30000000000004,195.30000000000004,193.30000000000004,195.30000000000004,0.85,train,train
472.wav,472,Um,Um,"Tearsheet Podcast_Edison Partners' Chris Sugden 'With growth equity, dogs are already eating the dog food'",1183.7359999999944,1185.7359999999944,1183.7359999999944,1185.7359999999944,0.85,train,train
491.wav,491,Um,Um,"Yaro Starak_Erika Awakening From Lawyer To Seduction Coach And Tapping Trainer Making $370,000 A Year",769.5729999999949,771.5729999999949,769.5729999999949,771.5729999999949,0.85,train,train
507.wav,507,Uh,Uh,The Voice of 5G_Episode 12_5G & IoT,1114.13608,1116.13608,1114.13608,1116.13608,0.85,train,train
525.wav,525,Uh,Uh,"Tearsheet Podcast_Edison Partners' Chris Sugden 'With growth equity, dogs are already eating the dog food'",140.0010000000001,142.0010000000001,140.0010000000001,142.0010000000001,0.85,train,train
549.wav,549,Words,Words,a16z_a16z Podcast 'In the Eye of a Tornado' Views on Innovation from China,1234.754,1236.754,1234.754,1236.754,0.85,train,train
553.wav,553,Music,Music,"FLY Travel Radio, with Melissa Rodway_FLY Travel Radio Episode 170 7+Yrs, Every Country, No Planes. Thor Pedersen, Once Upon A Saga",3617.347000000069,3619.347000000069,3617.347000000069,3619.347000000069,0.85,train,train
598.wav,598,Words,Words,a16z_a16z Podcast Blockchain vs-and Bitcoin,1158.073999999992,1160.073999999992,1158.073999999992,1160.073999999992,0.85,train,train
603.wav,603,Uh,Uh,Suzanne Toro_Fall Food Recipes & Wisdom {Food Alchemy},165.2620000000002,167.2620000000002,165.2620000000002,167.2620000000002,0.85,test,test
616.wav,616,Um,Um,The Come Up Show_Lizzo shares stories about her struggles and sleeping in her car she named “Harvey Dent”,1020.2329999999944,1022.2329999999944,1020.2329999999944,1022.2329999999944,0.85,train,train
639.wav,639,Uh,Uh,The Open Data Institute_Friday lunchtime lecture Data for democracy – how to stand for parliament with open data,1469.5799999999888,1471.5799999999888,1469.5799999999888,1471.5799999999888,0.85,train,train
664.wav,664,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,59.514,61.514,59.514,61.514,0.85,train,train
686.wav,686,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,1129.9249999999906,1131.9249999999906,1129.9249999999906,1131.9249999999906,0.85,train,train
702.wav,702,Words,Words,Maximum Enthusiasm_Life Made Simple with Stephanie- round 2- conquering the closet,2059.080999999951,2061.080999999951,2059.080999999951,2061.080999999951,0.85,train,train
705.wav,705,Um,Um,UX Podcast_#197 Mental health with Jennifer Akullian,538.4279999999994,540.4279999999994,538.4279999999994,540.4279999999994,0.85,train,train
733.wav,733,Um,Um,UX Podcast_#197 Mental health with Jennifer Akullian,1674.8519936000002,1676.8519936000002,1674.8519936000002,1676.8519936000002,0.85,train,train
738.wav,738,Words,Words,The Genealogy Happy Hour_Episode 20_Privacy,1713.700984,1715.700984,1713.700984,1715.700984,0.85,test,test
777.wav,777,Um,Um,"Introduction to Minecraft In Education_Nov 6, 2013",3317.1241216,3319.1241216,3317.1241216,3319.1241216,0.85,train,train
784.wav,784,Um,Um,Sophie Green_'I Was Daydreaming About This Place I Couldn't Get To',737.303,739.303,737.303,739.303,0.85,train,train
862.wav,862,non_filler,non_filler,Bear and Bear Cub Family Gaming_Episode 17_The One Where No Man's Sky Is Finally Out!,1240.9829999999831,1242.9829999999831,1240.9829999999831,1242.9829999999831,0.85,train,train
890.wav,890,Uh,Uh,With Good Reason_Diamond Worlds and Super Earths,827.5949999999956,829.5949999999956,827.5949999999956,829.5949999999956,0.85,train,train
935.wav,935,Uh,Uh,a16z_a16z Podcast Artificial Intelligence and the 'Space of Possible Minds',1700.5199999999795,1702.5199999999795,1700.5199999999795,1702.5199999999795,0.85,train,train
939.wav,939,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,1236.970999999988,1238.970999999988,1236.970999999988,1238.970999999988,0.85,train,train
942.wav,942,Um,Um,g1 pdcst_Foodie Call #11 The 2016 Digest,1514.0610416,1516.0610416,1514.0610416,1516.0610416,0.85,test,test
970.wav,970,Uh,Uh,a16z_a16z Podcast Blockchain vs-and Bitcoin,1200.7799999999902,1202.7799999999902,1200.7799999999902,1202.7799999999902,0.85,train,train
986.wav,986,Laughter,Laughter,the csuite podcast_Show 13_Podcasting,2273.721999999995,2275.721999999995,2273.721999999995,2275.721999999995,0.85,train,train
1000.wav,1000,Uh,Uh,Art & Company Podcast_Cat del Buono and Yeon Jin Kim Women Artists and the Allure of New Media  - #9,591.0099616000001,593.0099616000001,591.0099616000001,593.0099616000001,0.85,train,train
